"CD_RES_SECTOR","INDICATOR","MEASURE"
"11037C010","score",4.28889033867489
"11037C022","score",2.95422128987886
"11037C081","score",7.05548592775774
"11037C090","score",6.24416733865207
"11037C100","score",4.4430520456674
"11037C110","score",3.59862280644403
"11037C12-","score",6.79660231693838
"11037C180","score",12.6998316865153
"11037C19-","score",5.91245625259329
"11037C20-","score",11.0971973945716
"11038A000","score",13.4730033322118
"11038A010","score",7.91377332156756
"11038A020","score",15.1045243282473
"11038A030","score",5.34546457674315
"11038A04-","score",4.69993816287477
"11038A070","score",5.3988791537134
"11038A090","score",9.544746815298
"11038A1AR","score",7.0736138679158
"11038A1BR","score",9.17196817013641
"11039A00-","score",7.29482118493964
"11039A010","score",7.90601314404125
"11039A02-","score",11.1049296699814
"11039A03-","score",2.34506226995794
"11039A04-","score",4.14857724162635
"11039A081","score",10.0103483799685
"11039A09-","score",8.96235050921331
"11039A10-","score",6.2299573787329
"11039A11-","score",8.15953326561579
"11039A122","score",6.70638542187335
"11039A20-","score",10.5574267453407
"11039A21-","score",15.9652256721189
"11039A22-","score",8.40264037354281
"11039A23-","score",12.5707432230287
"11039A28-","score",7.18295729060959
"11039A29-","score",13.1664222891561
"11039B000","score",7.83889082124261
"11039B01-","score",2.89153395981077
"11039B02-","score",6.95026826144393
"11039B032","score",4.91113906097258
"11039B08-","score",5.2349015181825
"11039B091","score",19.5516425811999
"11039B10-","score",9.56001820634209
"11039B19-","score",6.97485883919153
"11040A00-","score",16.3695887890595
"11040A01-","score",15.163109724332
"11040A02-","score",11.9721116047639
"11040A03-","score",16.3070821870267
"11040A040","score",18.4877344771307
"11040A050","score",8.13441843264562
"11040A060","score",11.5009146177442
"11040A072","score",19.4392357336256
"11040A0AA","score",12.5314399006727
"11040A0PA","score",9.83453446424892
"11040A10-","score",16.20108210668
"11040A11-","score",8.21885371849404
"11040A12-","score",7.78532301974721
"11040A13-","score",5.29110302615645
"11040A14-","score",8.54537972559607
"11040A182","score",16.817101643473
"11040A191","score",4.94575808941926
