"CD_RES_SECTOR","score","rank","deciles"
"11037A091",7.41864049140094,16009,9
"11037A0ON",9.88974719153238,13750,8
"11037A10-",11.6956732921187,12113,7
"11037A19-",8.18587400409474,15307,9
"11037B00-",26.4025664008391,4137,3
"11037B01-",19.4145146334067,6757,4
"11037B022",38.705587797671,1719,1
"11037B091",22.9235585585305,5297,3
"11037C000",4.81131624277467,17815,10
"11037C010",4.28889033867489,18078,10
"11037C022",2.95422128987886,18541,10
"11037C081",7.05548592775774,16285,9
"11037C090",6.24416733865207,16895,10
"11037C100",4.4430520456674,18014,10
"11037C110",3.59862280644403,18344,10
"11037C12-",6.79660231693838,16485,9
"11037C180",12.6998316865153,11279,7
"11037C19-",5.91245625259329,17127,10
"11037C20-",11.0971973945716,12592,7
"11038A000",13.4730033322118,10646,6
"11038A010",7.91377332156756,15551,9
"11038A020",15.1045243282473,9350,5
"11038A030",5.34546457674315,17528,10
"11038A04-",4.69993816287477,17885,10
"11038A070",5.3988791537134,17487,10
"11038A090",9.544746815298,14050,8
"11038A1AR",7.0736138679158,16270,9
"11038A1BR",9.17196817013641,14387,8
"11039A00-",7.29482118493964,16101,9
"11039A010",7.90601314404125,15563,9
"11039A02-",11.1049296699814,12585,7
"11039A03-",2.34506226995794,18652,10
"11039A04-",4.14857724162635,18138,10
"11039A081",10.0103483799685,13638,8
"11039A09-",8.96235050921331,14594,8
"11039A10-",6.2299573787329,16905,10
"11039A11-",8.15953326561579,15331,9
"11039A122",6.70638542187335,16551,9
"11039A20-",10.5574267453407,13112,7
"11039A21-",15.9652256721189,8789,5
"11039A22-",8.40264037354281,15113,9
"11039A23-",12.5707432230287,11379,7
"11039A28-",7.18295729060959,16196,9
"11039A29-",13.1664222891561,10911,6
"11039B000",7.83889082124261,15632,9
"11039B01-",2.89153395981077,18563,10
"11039B02-",6.95026826144393,16359,9
"11039B032",4.91113906097258,17777,10
"11039B08-",5.2349015181825,17603,10
"11039B091",19.5516425811999,6682,4
"11039B10-",9.56001820634209,14037,8
"11039B19-",6.97485883919153,16345,9
"11040A00-",16.3695887890595,8512,5
"11040A01-",15.163109724332,9302,5
"11040A02-",11.9721116047639,11851,7
"11040A03-",16.3070821870267,8557,5
"11040A040",18.4877344771307,7276,4
"11040A050",8.13441843264562,15352,9
"11040A060",11.5009146177442,12280,7
"11040A072",19.4392357336256,6747,4
"11040A0AA",12.5314399006727,11413,7
"11040A0PA",9.83453446424892,13793,8
"11040A10-",16.20108210668,8629,5
"11040A11-",8.21885371849404,15273,9
"11040A12-",7.78532301974721,15676,9
"11040A13-",5.29110302615645,17569,10
"11040A14-",8.54537972559607,14973,8
"11040A182",16.817101643473,8232,5
"11040A191",4.94575808941926,17768,10
"11040A201",18.1814431119538,7433,4
"11040A211",13.1906280181282,10885,6
"11040A222",15.6704533062959,8984,5
"11040A232",17.1674825262389,8024,5
"11040A242",17.8565290271775,7621,5
"11040A253",20.8765831461764,6093,4
"11040A27-",21.7411706786271,5732,4
"11040A291",19.6930342382108,6611,4
"11040A30-",7.47354960735592,15967,9
"11040A312",6.68637697100817,16562,9
"11040A322",6.13113573704722,16972,10
"11040A381",12.0312122475844,11806,7
"11040A391",8.01262185386414,15457,9
"11040A40-",14.8179134183928,9566,6
"11040A410",11.8059128562293,12008,7
"11040A480",5.45524358719478,17444,10
"11040A50-",13.4112717044639,10693,6
"11040A67-",33.2568611756239,2545,2
"11044A001",11.6845512103921,12123,7
"11044A010",11.6810366291869,12126,7
"11044A02-",9.06179810562418,14497,8
"11044A032",12.1522292845168,11707,7
"11044A042",4.50733497737074,17980,10
"11044A0PN",10.7587098699397,12924,7
"11044A10-",10.7048548511869,12968,7
"11044A112",3.89984080935422,18250,10
